stop_id,stop_name,parent_station,stop_desc,stop_lat,stop_lon,location_type,wheelchair_boarding,platform_code
de:12073:900340123::2,"Angermünde, Leistenhof",,Bushalt Berliner Tor hinter Leistenhof,52.999817,13.987344,,,
de:12073:900340124::1,"Angermünde, Pestalozzistr.",,Bushalt Pestalozzistraße vor Rudolf-Breitscheid-Straße,53.013466,13.982127,,,
de:12073:900340124::2,"Angermünde, Pestalozzistr.",,Bushalt Pestalozzistraße vor Birkenweg,53.013664,13.982119,,,
de:12073:900340125::1,"Angermünde, Prenzlauer Str.",,Bushalt Prenzlauer Straße vor Mürower Weg,53.02405,13.998336,,,
de:12073:900340125::2,"Angermünde, Prenzlauer Str.",,Bushalt Prenzlauer Straße vor Templiner Straße,53.02379,13.998395,,,
de:12073:900340126::1,"Angermünde, Puschkinallee",,Bushalt Puschkinallee hinter Sternfelder Straße,53.002834,13.98854,,,
de:12073:900340126::2,"Angermünde, Puschkinallee",,Bushalt Puschkinallee hinter Berliner Tor,53.002834,13.988696,,,
de:12073:900340127::1,"Angermünde, Berliner Str.",,Bushalt Berliner Straße hinter Kirchgasse,53.019257,14.001557,,,
de:12073:900340127::2,"Angermünde, Berliner Str.",,Bushalt Berliner Straße vor Himmelsleiter,53.01865,14.0013,,,
de:12073:900340128::1,"Angermünde, Rosenstr.",,Bushalt Berliner Straße vor Rosenstraße,53.01678,14.000624,,,
de:12073:900340128::2,"Angermünde, Rosenstr.",,Bushalt Berliner Straße hinter Ring,53.017197,14.000707,,,
de:12073:900340129::1,"Angermünde, Schillerplatz",,Bushalt Schillerplatz vor Büchnerstraße,53.011105,14.02216,,,
de:12073:900340130::1,"Angermünde, Schwedter Tor",,Bushalt Mudrowweg vor Schwedter Straße,53.015537,14.017131,,,
de:12073:900340130::2,"Angermünde, Schwedter Tor",,Bushalt Murdrowweg hinter B 2,53.015617,14.016916,,,
de:12073:900340131::1,"Angermünde, Am Sportplatz",,Bushalt Jahnstraße hinter Bergstraße,53.015846,13.986862,,,
de:12073:900340131::2,"Angermünde, Am Sportplatz",,Bushalt Jahnstraße vor Rudolf-Harbig-Straße,53.015884,13.986834,,,
de:12073:900340132::1,"Angermünde, Sternfelder Weg",,Bushalt Sternfelder Straße hinter Puschkinallee,53.003265,13.988252,,,
de:12073:900340132::2,"Angermünde, Sternfelder Weg",,Bushalt Sternfelder Straße vor Puschkinallee,53.003242,13.98835,,,
de:12073:900340133::1,"Angermünde, Tierpark",,Bushalt Puschkinallee hinter Am Plattenwerk,53.008633,13.991247,,,
de:12073:900340133::2,"Angermünde, Tierpark",,Bushalt Puschkinallee vor Espelkamper Weg,53.00892,13.991481,,,
de:12073:900340134::1,"Angermünde, Umspannwerk",,Bushalt Prenzlauer Straße in Richtung Norden,53.027817,13.994515,,,
de:12073:900340134::2,"Angermünde, Umspannwerk",,Bushalt Prenzlauer Straße in Richtung Süden,53.02832,13.994043,,,
